Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Equilibrio medio de tiempo de contacto con el suelo,Training Stress Score®,Pasos,Repeticiones totales,Series totales,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-09-19 08:14:05,false,"Peñalolén Carrera","14.23","1,070","01:15:51","154","167","4.9","157","220","5:20","4:54","39","93","1.20","10.1","12.4","269","51.0 % izquierda / 49.0 % derecha","0.0","11,770","--","--","19.0","No","00:01:09.8","15","24.0","01:15:33","01:15:57","703","729"
Carrera,2026-09-17 19:18:28,false,"Vitacura Carrera","4.77","381","00:27:46","156","167","3.2","156","161","5:49","5:25","20","15","1.10","11.5","12.7","276","50.9 % izquierda / 49.1 % derecha","0.0","4,276","--","--","24.0","No","00:04:31.1","5","27.0","00:27:33","00:28:07","669","689"
Entreno de fuerza,2026-09-17 18:27:31,false,"Fuerza","0.00","398","00:44:05","123","160","2.2","--","--","--","--","--","--","--","--","--","--","--","0.0","186","93","8","26.0","No","00:44:05","1","28.0","00:33:18","00:44:05","--","--"
Carrera,2026-09-15 19:21:33,false,"Vitacura Carrera","9.94","756","00:53:53","156","178","4.2","156","167","5:25","4:27","130","129","1.18","10.2","12.3","272","50.6 % izquierda / 49.4 % derecha","0.0","8,290","--","--","22.0","No","00:04:52.6","10","28.0","00:53:25","01:08:28","698","768"
Carrera,2026-09-13 07:31:13,false,"Corrida Glorias del Ejército 2026","10.03","725","00:47:26","165","179","5.0","159","164","4:44","3:53","78","75","1.32","9.3","12.4","261","51.0 % izquierda / 49.0 % derecha","0.0","7,470","--","--","14.0","No","00:00:08.2","11","18.0","00:47:23","00:47:26","651","708"
Carrera,2026-09-12 07:49:57,false,"Vitacura - ICCUS 6k +4x200","9.46","747","00:57:53","149","165","3.8","149","226","6:07","4:24","41","98","1.10","10.4","11.7","282","50.7 % izquierda / 49.3 % derecha","0.0","8,388","--","--","14.0","No","00:00:53.8","19","24.0","00:53:53","01:08:48","685","709"
Carrera,2026-09-10 20:28:31,false,"Vitacura - ICCUS 7k","7.01","535","00:39:05","151","168","3.7","153","157","5:34","5:12","40","71","1.18","10.8","13.0","280","50.2 % izquierda / 49.8 % derecha","0.0","5,932","--","--","18.0","No","00:00:04.6","8","27.0","00:38:51","00:40:09","674","708"
Carrera,2026-09-08 19:25:08,false,"Vitacura Carrera","7.17","571","00:49:11","137","171","3.2","137","219","6:52","4:17","41","60","1.03","9.4","10.0","312","50.8 % izquierda / 49.2 % derecha","0.0","6,642","--","--","15.0","No","00:00:51.5","22","25.0","00:46:15","00:58:06","653","680"
Carrera,2026-09-03 19:50:00,false,"Vitacura Carrera","4.22","303","00:23:32","140","157","3.0","154","159","5:35","5:12","9","27","1.16","10.7","12.5","282","50.3 % izquierda / 49.7 % derecha","0.0","3,570","--","--","25.0","No","00:01:12.4","5","28.0","00:23:13","00:29:57","662","692"
Carrera,2026-08-30 07:31:45,false,"Las Condes Carrera","21.33","1,646","01:48:43","170","187","5.0","158","166","5:06","4:31","153","151","1.23","9.8","12.3","262","51.0 % izquierda / 49.0 % derecha","0.0","17,006","--","--","16.0","No","00:01:22.4","22","24.0","01:48:35","01:48:43","657","725"
